file,artifact_type,lines_of_code,real_computation,blocked_claims,dependencies,description,classifier_label,classifier_confidence,classifier_reasons,verdict,keep_for_system
MONSTERDOG____3.0___INVERSION_R_LES__SYNCHRO_LLM__1.txt,python_script,104,NeuralSyncLLM(PyTorch transformer 6-layer d=512)|GeometricCorrelation(cosine distance)|BlockUniverseLLM(tensor ops),PREMIÈRE MONDIALE|GPT-5.2 equivalence|OpenAI-like acceptation,numpy|torch|scipy,"PyTorch 6-layer transformer with cosine-similarity geometric correlation; real math buried under MONSTERDOG/GPT-5.2 hype framing; fusion logits: 0.7*brain_pred + 0.3*gpt_pred",simulated,0.75,simulation_or_random_pattern|blocked_superiority_claim,EXTRACTABLE_BLOCKED_CLAIMS,YES_dehyped_only
ai_open_gpt6_candidate_spec.json,json_spec,87,blocked_claims list|kill_tests list|missing_data list|not_claims list|simulated_benchmarks(PLAN_ONLY),none,none,"FAIL_CLOSED spec document: 10 blocked_claims, 5 kill_tests, 6 missing_data, 5 not_claims; status=HYPOTHETICAL_LOCAL_SPEC_NOT_A_MODEL — strongly aligned with EXOCHRONOS/gpts_core philosophy",symbolic,0.88,symbolic_or_metaphoric_context|fail_closed_aligned,EXCELLENT_ALIGNED,YES_already_compatible
gpt2_sft.yml,yaml_config,33,SFT training pipeline config (epochs/lr/scheduler/optimizer),none,autotrain|HuggingFace,"AutoTrain SFT config: base_model=openai-community/gpt2 dataset=timdettmers/openassistant-guanaco epochs=3 lr=3e-5 fp16 merge_adapter=true; legitimate reproducible training recipe",reported,0.82,reported_config_or_status_pattern,USABLE_CONFIG,YES_as_training_recipe
monsterdog_hybrid_gpt.py,python_script,34,NONE — from you import Completion is broken,none,"you (non-existent)|pyttsx3","Broken: imports `from you import Completion` — package does not exist. Also uses pyttsx3 for TTS. No real computation. Core logic depends on non-existent API.",unsupported,0.95,unsupported_broken_import,BROKEN_UNUSABLE,NO_delete
gptr_metrics_analyzer.py,python_script,57,np.random.uniform(1.4e9,1.5e9) labeled as real speed,GPTR beats NVIDIA H100|MLPerf comparison,numpy|matplotlib,"GPTRMetricsAnalyzer: Fractal_Analysis_Speed = np.random.uniform(1.4e9,1.5e9). Benchmark comparisons are hardcoded dicts — no actual measurement. Fake metric factory.",simulated,0.92,simulation_or_random_pattern|fake_benchmark,SYNTHETIC_FAKE_METRICS,NO_delete
script_analyse_fractale.py,python_script,9,np.random.uniform(0.5,1.0) labeled as fractal_complexity,fractal_complexity is a real measurement,numpy,"fractal_analysis() returns {fractal_complexity: np.random.uniform(0.5,1.0)} — pure random number, zero real fractal computation. 9 lines total.",simulated,0.97,simulation_or_random_pattern|random_disguised_as_metric,SYNTHETIC_FAKE_METRIC,NO_delete
script_benchmark_multi_agent.py,python_script,29,measures time.sleep(0.001-0.002) only — no real agent work,multi-agent benchmark,multiprocessing,"10 agents each sleeping 500 times (0.001-0.002s). Reports total/avg sleep time as 'benchmark'. No real computation measured.",simulated,0.90,simulation_or_random_pattern|sleep_timer_not_benchmark,SYNTHETIC_SLEEP_TIMER,NO_delete
drone_military_data.json,json_data,20,static reference data (3 drone specs),none,none,"Static JSON: X-47B (Mach 0.9 12h USA), Bayraktar TB2 (220km/h 27h TR), MQ-9 Reaper (400km/h 24h USA). Reference lookup data only.",reported,0.75,reported_config_or_status_pattern,STATIC_REFERENCE_DATA,OPTIONAL_domain_specific
gpt_oss0.1.0py3noneany.whl,binary_wheel,unknown,unknown — binary not inspected,unknown,unknown,"Python wheel containing chat.py/generate.py/sample.py/tokenizer.py. Source not directly readable. Requires pip install + inspection to assess. May contain GPT-2-level text generation.",reported,0.50,binary_not_inspectable,NEEDS_EXTRACTION,MAYBE_inspect_first
solidworks_ebook.pdf,pdf_document,32_pages,NONE — documentation only,none,none,SolidWorks 3DX simulation ebook — integrated modeling/simulation reference. Not relevant to AI/ML system.,symbolic,0.50,not_relevant_domain,NOT_RELEVANT,NO_delete
python3.12.0amd64.exe,binary_installer,unknown,NONE — Python runtime installer,none,none,Python 3.12 Windows installer binary. Not a system component — infrastructure dependency only.,reported,0.50,binary_installer,INFRASTRUCTURE_ONLY,NO_already_installed
ngrokv3stablelinuxamd64.tgz,binary_tool,unknown,NONE — network tunnel binary,none,none,Ngrok v3 Linux AMD64 tunnel binary. Network exposure tool — not a system component. Use only if you need public URL for local server.,reported,0.50,binary_tool_not_code,INFRASTRUCTURE_ONLY,OPTIONAL_if_needed
omniaegis_pitch_deck.pptx,presentation,unknown,NONE — slides only,none,none,OmniAEGIS pitch deck. Strategic documentation only — no executable code or algorithms.,symbolic,0.50,documentation_only,DOCUMENTATION,NO_not_system_code
SongMakerMIDIPlayerBeta.html,html_app,unknown,MIDI playback logic,none,Web Audio API,"HTML/JS MIDI player — music tool. Unrelated to AI/GPT system. Interesting standalone but zero relevance to gpts_core.",symbolic,0.55,unrelated_domain,NOT_RELEVANT,NO_delete
MONSTERDOG_HTML_FULL_EXTRACT.xlsx,excel_data,unknown,NONE — extracted HTML data table,none,none,Excel export of HTML extraction. Data table only — no computation. Content unknown without opening.,reported,0.45,binary_not_inspectable,NEEDS_INSPECTION,MAYBE_check_content
