file,module_name,module_type,extends,method_count,field_count,lines_of_code,dependencies,description,classifier_label,classifier_confidence,classifier_reasons
BaseModule.js,BaseModule,class_abstract,EventEmitter,3,3,33,events|../../utils/logger,"Abstract base class for all modules — state management, sync, status",reported,0.66,reported_config_or_status_pattern
QuantumModule.js,QuantumModule,class_concrete,BaseModule,1,0,18,./base/BaseModule|../utils/idGenerator,Quantum state idea generator — superposition/entangled random state,simulated,0.86,simulation_or_random_pattern
ExochronosModule.js,ExochronosModule,class_concrete,BaseModule,3,1,33,../base/BaseModule|../../utils/idGenerator,Timeline probability generator — convergence/divergence/stability/transformation events,reported,0.55,numeric_value_without_raw_observation
CoreModule.js,CoreModule,class_concrete,BaseModule,1,0,18,./base/BaseModule|../utils/idGenerator,Core process state generator — active/idle random state,simulated,0.86,simulation_or_random_pattern
AdvancedEncoderModule.js,AdvancedEncoderModule,class_concrete,BaseModule,3,1,37,../base/BaseModule|../../utils/idGenerator,Encoding pattern generator — quantum/neural/fractal/holographic patterns with dimension×frequency complexity,symbolic,0.70,symbolic_or_metaphoric_context
ConsciousnessEntity.js,ConsciousnessEntity,class_standalone,,3,8,35,,"UI entity with name/frequency/personality/color — greeting/response text randomizer, synchronicity accumulator",symbolic,0.70,symbolic_or_metaphoric_context
QuantumField.js,QuantumField,class_ui,,5,3,51,DOM,"DOM-based 64-node quantum field visualization — CSS animation, color/scale/blur modulation",symbolic,0.70,symbolic_or_metaphoric_context
PerformanceMonitor.js,PerformanceMonitor,class_utility,,4,1,46,,Performance history tracker — average/min/max/count/lastValue statistics,computed,0.68,computed_metric_pattern
vajra.js,VajraEnergyVisualization,class_3d_viz,,14,5,287,three.js (CDN r128)|window.simplexNoise|/update_energy API,"Three.js 50k-particle energy visualization — noise-driven flow, explosion interaction, API-driven parameter modulation",reported,0.66,reported_config_or_status_pattern
config.js,CONFIG,config_object,,0,5,48,,"Static configuration — 9 system messages, 6 participants, energy/quantum/fractal status fields",symbolic,0.70,symbolic_or_metaphoric_context
styles.css,styles,stylesheet,,0,13,437,,"Full-screen visualization UI — dark theme, cyan #0ff palette, CSS animations (fractalPulse/glitch/zorgPulse/streamFlow)",reported,0.55,numeric_value_without_raw_observation
